image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_30.jpg,590,262,175,541,147,639,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_38.jpg,187,177,164,116,52,258,302
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_21.jpg,439,109,115,320,23,558,195
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_40.jpg,382,356,27,291,236,473,476
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_16.jpg,350,328,137,239,221,461,435
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_22.jpg,246,176,8,165,45,327,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_37.jpg,302,259,105,166,198,438,320
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_5.jpg,384,352,113,269,271,499,433
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_29.jpg,447,201,56,331,104,563,298
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_9.jpg,360,209,90,244,139,476,279
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_2.jpg,481,289,15,382,177,580,401
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_20.jpg,150,172,42,39,62,261,282
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_3.jpg,323,252,148,221,145,425,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_8.jpg,353,380,108,238,296,468,464
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_27.jpg,327,189,78,198,132,456,246
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_7.jpg,466,262,39,357,151,575,373
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_11.jpg,229,174,66,103,88,355,260
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_15.jpg,333,327,21,242,209,424,445
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_10.jpg,186,309,102,67,232,305,386
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_33.jpg,332,129,79,205,65,459,193
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_5.jpg,326,257,146,246,167,406,347
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_23.jpg,428,192,151,358,101,498,283
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_7.jpg,313,160,69,225,87,401,233
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_22.jpg,476,203,148,389,107,563,299
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_11.jpg,493,166,32,411,85,575,247
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_6.jpg,205,223,139,117,139,293,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_10.jpg,476,193,156,398,109,554,277
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_14.jpg,317,181,37,232,99,402,263
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_19.jpg,325,214,149,239,129,411,299
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_21.jpg,488,311,37,409,232,567,390
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_1.jpg,299,227,43,207,148,391,306
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_8.jpg,231,188,149,135,104,327,272
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_2.jpg,330,244,145,245,162,415,326
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_4.jpg,474,148,134,383,76,565,220
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_20.jpg,448,153,130,360,78,536,228
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_12.jpg,385,251,138,301,176,469,326
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_15.jpg,431,220,164,356,121,506,319
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_17.jpg,426,234,137,347,156,505,312
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_25.jpg,403,152,44,310,69,496,235
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_13.jpg,269,288,143,178,195,360,381
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_21.jpg,241,142,135,123,26,359,258
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_5.jpg,486,313,126,368,202,604,424
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_20.jpg,188,130,130,70,32,306,228
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_4.jpg,164,306,19,69,190,259,422
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_19.jpg,279,264,136,163,160,395,368
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_25.jpg,302,286,81,171,230,433,342
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_14.jpg,180,289,4,113,162,247,416
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_15.jpg,296,190,131,180,93,412,287
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_18.jpg,464,236,51,341,134,587,338
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_16.jpg,444,235,52,320,135,568,335
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_12.jpg,481,355,27,374,236,588,474
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_7.jpg,396,195,102,270,116,522,274
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_8.jpg,219,303,9,140,183,298,423
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_2.jpg,391,202,102,264,120,518,284
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_6.jpg,452,199,33,339,79,565,319
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_3.jpg,387,216,153,286,90,488,342
