image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_5.jpg,401,257,171,293,40,509,474
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_8.jpg,395,232,48,215,87,575,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_18.jpg,419,250,75,226,156,612,344
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_10.jpg,310,257,137,155,80,465,434
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_20.jpg,462,315,51,290,169,634,461
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_17.jpg,525,260,23,417,71,633,449
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_13.jpg,446,265,37,284,79,608,451
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_1.jpg,487,249,42,337,67,637,431
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_16.jpg,298,256,31,183,47,413,465
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_9.jpg,228,293,57,39,177,417,409
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_13.jpg,253,155,126,175,114,331,196
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_7.jpg,395,182,76,327,142,463,222
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_3.jpg,355,145,43,289,90,421,200
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_5.jpg,207,200,50,159,153,255,247
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_6.jpg,446,166,30,395,107,497,225
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_9.jpg,561,220,7,512,153,610,287
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_4.jpg,371,305,51,310,251,432,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_8.jpg,526,351,83,453,317,599,385
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_19.jpg,393,176,24,333,114,453,238
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_20.jpg,187,358,28,131,296,243,420
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_12.jpg,347,248,45,285,194,409,302
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_10.jpg,259,329,9,197,283,321,375
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_5.jpg,126,155,82,54,105,198,205
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_16.jpg,524,84,5,467,36,581,132
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_15.jpg,450,111,14,389,63,511,159
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_19.jpg,444,416,34,378,359,510,473
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_11.jpg,535,374,40,475,313,595,435
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_6.jpg,151,267,53,82,217,220,317
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_14.jpg,513,185,66,451,131,575,239
/home/allen/dl_grasp/src/data_expend/origin_img/img/square/square_7.jpg,565,265,34,510,207,620,323
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_8.jpg,515,282,11,442,108,588,456
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_15.jpg,343,198,158,233,27,453,369
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_9.jpg,497,215,130,360,67,634,363
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_7.jpg,333,200,133,203,57,463,343
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_6.jpg,175,194,18,70,19,280,369
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_20.jpg,388,98,58,228,1,548,195
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_5.jpg,186,299,130,40,184,332,414
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_1.jpg,444,287,84,257,190,631,384
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_4.jpg,265,286,54,109,189,421,383
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_11.jpg,336,363,75,172,299,500,427
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_30.jpg,590,262,175,541,147,639,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_26.jpg,520,226,149,422,114,618,338
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_38.jpg,187,177,164,116,52,258,302
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_21.jpg,439,109,115,320,23,558,195
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_40.jpg,382,356,27,291,236,473,476
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_16.jpg,350,328,137,239,221,461,435
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_22.jpg,246,176,8,165,45,327,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_37.jpg,302,259,105,166,198,438,320
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_5.jpg,384,352,113,269,271,499,433
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_29.jpg,447,201,56,331,104,563,298


