image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_30.jpg,590,262,175,541,147,639,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_38.jpg,187,177,164,116,52,258,302
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_21.jpg,439,109,115,320,23,558,195
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_40.jpg,382,356,27,291,236,473,476
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_16.jpg,350,328,137,239,221,461,435
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_22.jpg,246,176,8,165,45,327,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_37.jpg,302,259,105,166,198,438,320
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_5.jpg,384,352,113,269,271,499,433
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_29.jpg,447,201,56,331,104,563,298
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_9.jpg,360,209,90,244,139,476,279
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_2.jpg,481,289,15,382,177,580,401
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_20.jpg,150,172,42,39,62,261,282
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_3.jpg,323,252,148,221,145,425,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_8.jpg,353,380,108,238,296,468,464
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_27.jpg,327,189,78,198,132,456,246
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_7.jpg,466,262,39,357,151,575,373
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_11.jpg,229,174,66,103,88,355,260
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_15.jpg,333,327,21,242,209,424,445
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_10.jpg,186,309,102,67,232,305,386
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_33.jpg,332,129,79,205,65,459,193
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_8.jpg,517,292,9,446,123,588,461
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_15.jpg,342,202,162,258,38,426,366
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_9.jpg,501,214,134,366,77,636,351
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_7.jpg,332,199,140,200,62,464,336
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_6.jpg,176,195,17,90,24,262,366
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_20.jpg,379,87,60,230,1,528,173
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_5.jpg,175,305,122,24,182,326,428
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_1.jpg,448,283,86,269,220,627,346
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_4.jpg,255,275,52,85,174,425,376
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_11.jpg,354,364,77,153,300,555,428
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_19.jpg,266,368,109,85,294,447,442
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_12.jpg,347,272,47,196,155,498,389
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_13.jpg,232,271,150,95,112,369,430
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_16.jpg,511,241,30,409,86,613,396
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_18.jpg,513,254,21,417,87,609,421
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_14.jpg,221,107,84,54,53,388,161
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_10.jpg,440,200,144,318,36,562,364
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_3.jpg,326,165,17,249,15,403,315
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_17.jpg,497,193,147,367,46,627,340
/home/allen/dl_grasp/src/data_expend/origin_img/img/blue_bottle/blue_bottle_2.jpg,390,189,38,262,42,518,336
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_2.jpg,427,274,119,220,167,634,381
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_8.jpg,395,232,48,215,87,575,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_10.jpg,310,257,137,155,80,465,434
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_20.jpg,462,315,51,290,169,634,461
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_17.jpg,525,260,23,417,71,633,449
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_13.jpg,446,265,37,284,79,608,451
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_5.jpg,401,257,171,293,40,509,474
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_1.jpg,487,249,42,337,67,637,431
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_16.jpg,298,256,31,183,47,413,465
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_9.jpg,228,293,57,39,177,417,409
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_3.jpg,459,281,62,279,149,639,413
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_7.jpg,384,234,0,320,36,448,432
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_19.jpg,382,246,144,247,72,517,420
