image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_30.jpg,590,262,175,541,147,639,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_38.jpg,187,177,164,116,52,258,302
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_21.jpg,439,109,115,320,23,558,195
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_40.jpg,382,356,27,291,236,473,476
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_16.jpg,350,328,137,239,221,461,435
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_22.jpg,246,176,8,165,45,327,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_37.jpg,302,259,105,166,198,438,320
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_5.jpg,384,352,113,269,271,499,433
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_29.jpg,447,201,56,331,104,563,298
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_9.jpg,360,209,90,244,139,476,279
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_2.jpg,481,289,15,382,177,580,401
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_20.jpg,150,172,42,39,62,261,282
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_3.jpg,323,252,148,221,145,425,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_8.jpg,353,380,108,238,296,468,464
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_27.jpg,327,189,78,198,132,456,246
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_7.jpg,466,262,39,357,151,575,373
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_11.jpg,229,174,66,103,88,355,260
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_15.jpg,333,327,21,242,209,424,445
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_10.jpg,186,309,102,67,232,305,386
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_33.jpg,332,129,79,205,65,459,193
