image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_2.jpg,427,274,119,220,167,634,381
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_8.jpg,395,232,48,215,87,575,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_10.jpg,310,257,137,155,80,465,434
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_20.jpg,462,315,51,290,169,634,461
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_17.jpg,525,260,23,417,71,633,449
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_13.jpg,446,265,37,284,79,608,451
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_5.jpg,401,257,171,293,40,509,474
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_1.jpg,487,249,42,337,67,637,431
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_16.jpg,298,256,31,183,47,413,465
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_9.jpg,228,293,57,39,177,417,409
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_3.jpg,459,281,62,279,149,639,413
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_7.jpg,384,234,0,320,36,448,432
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_19.jpg,382,246,144,247,72,517,420
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_15.jpg,232,289,106,13,201,451,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_18.jpg,419,250,75,226,156,612,344
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_14.jpg,414,274,136,251,117,577,431
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_6.jpg,327,235,144,183,50,471,420
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_4.jpg,457,297,124,277,167,637,427
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_11.jpg,308,311,42,158,146,458,476
/home/allen/dl_grasp/src/data_expend/origin_img/img/bottle/bottle_3.jpg,459,281,62,279,149,639,413
