image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_15.jpg,300,217,98,155,136,445,298
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_19.jpg,377,246,171,299,101,455,391
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_20.jpg,316,244,97,165,177,467,311
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_16.jpg,291,227,176,224,88,358,366
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_13.jpg,373,294,74,219,211,527,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_18.jpg,414,222,138,288,97,540,347
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_1.jpg,410,198,97,259,125,561,271
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_12.jpg,400,265,144,275,138,525,392
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_17.jpg,445,219,55,307,103,583,335
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_6.jpg,419,220,41,291,96,547,344
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_23.jpg,409,214,68,256,132,562,296
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_2.jpg,393,210,39,265,79,521,341
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_7.jpg,427,254,143,304,124,550,384
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_8.jpg,477,268,79,322,193,632,343
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_14.jpg,322,266,14,237,122,407,410
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_3.jpg,326,197,111,173,105,479,289
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_21.jpg,257,185,124,120,73,394,297
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_4.jpg,276,210,95,118,143,434,277
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_22.jpg,309,237,63,163,134,455,340
/home/allen/dl_grasp/src/data_expend/origin_img/img/glasses_case/glasses_case_9.jpg,484,256,85,329,206,639,306
