image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_21.jpg,241,142,135,123,26,359,258
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_5.jpg,486,313,126,368,202,604,424
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_20.jpg,188,130,130,70,32,306,228
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_4.jpg,164,306,19,69,190,259,422
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_19.jpg,279,264,136,163,160,395,368
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_25.jpg,302,286,81,171,230,433,342
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_14.jpg,180,289,4,113,162,247,416
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_15.jpg,296,190,131,180,93,412,287
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_18.jpg,464,236,51,341,134,587,338
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_16.jpg,444,235,52,320,135,568,335
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_12.jpg,481,355,27,374,236,588,474
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_7.jpg,396,195,102,270,116,522,274
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_8.jpg,219,303,9,140,183,298,423
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_2.jpg,391,202,102,264,120,518,284
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_6.jpg,452,199,33,339,79,565,319
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_3.jpg,387,216,153,286,90,488,342
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_22.jpg,278,240,57,155,134,401,346
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_9.jpg,202,212,124,77,109,327,315
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_17.jpg,415,301,108,285,223,545,379
/home/allen/dl_grasp/src/data_expend/origin_img/img/milktea/milktea_1.jpg,344,233,15,260,114,428,352
