image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_5.jpg,326,257,146,246,167,406,347
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_23.jpg,428,192,151,358,101,498,283
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_7.jpg,313,160,69,225,87,401,233
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_22.jpg,476,203,148,389,107,563,299
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_11.jpg,493,166,32,411,85,575,247
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_6.jpg,205,223,139,117,139,293,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_10.jpg,476,193,156,398,109,554,277
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_14.jpg,317,181,37,232,99,402,263
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_19.jpg,325,214,149,239,129,411,299
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_21.jpg,488,311,37,409,232,567,390
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_1.jpg,299,227,43,207,148,391,306
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_8.jpg,231,188,149,135,104,327,272
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_2.jpg,330,244,145,245,162,415,326
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_4.jpg,474,148,134,383,76,565,220
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_20.jpg,448,153,130,360,78,536,228
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_12.jpg,385,251,138,301,176,469,326
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_15.jpg,431,220,164,356,121,506,319
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_17.jpg,426,234,137,347,156,505,312
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_25.jpg,403,152,44,310,69,496,235
/home/allen/dl_grasp/src/data_expend/origin_img/img/mouse/mouse_13.jpg,269,288,143,178,195,360,381
