image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_11.jpg,361,284,152,276,173,442,395
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_5.jpg,174,296,35,93,197,255,395
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_9.jpg,476,107,65,339,38,613,176
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_18.jpg,485,217,151,383,109,587,325
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_20.jpg,350,285,50,237,188,463,382
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_8.jpg,443,160,107,312,99,574,221
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_3.jpg,454,147,130,336,55,572,239
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_12.jpg,390,313,38,270,217,510,409
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_4.jpg,369,291,13,257,183,481,399
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_6.jpg,390,190,41,278,107,502,273
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_7.jpg,518,305,42,415,208,621,402
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_1.jpg,364,298,71,232,239,496,357
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_10.jpg,396,288,22,315,179,477,397
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_2.jpg,542,330,3,475,219,609,441
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_19.jpg,435,247,36,339,146,531,348
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_16.jpg,237,236,148,134,132,340,340
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_13.jpg,482,221,156,379,115,585,327
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_14.jpg,487,201,85,349,153,625,249
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_17.jpg,394,234,45,261,141,527,327
/home/allen/dl_grasp/src/data_expend/origin_img/img/pen/pen_15.jpg,385,201,118,250,128,520,274
