image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_2.jpg,446,213,124,362,141,530,285
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_1.jpg,480,276,45,395,206,565,346
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_7.jpg,278,209,44,179,139,377,279
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_4.jpg,329,265,93,238,219,420,311
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_13.jpg,219,185,64,116,130,322,240
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_25.jpg,182,262,130,89,187,275,337
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_12.jpg,275,206,131,169,132,381,280
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_10.jpg,512,223,61,417,166,607,280
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_6.jpg,284,229,127,196,159,372,299
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_5.jpg,244,267,18,170,188,318,346
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_11.jpg,335,180,44,244,107,426,253
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_14.jpg,186,238,102,89,181,283,295
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_16.jpg,207,218,135,126,164,288,272
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_17.jpg,239,239,7,166,146,312,332
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_8.jpg,327,232,144,254,157,400,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_23.jpg,487,262,46,394,195,580,329
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_20.jpg,304,215,145,222,139,386,291
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_15.jpg,156,251,17,76,172,236,330
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_19.jpg,261,223,38,184,154,338,292
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv3/screwdriverv3_22.jpg,420,260,140,345,187,495,333
