image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_30.jpg,590,262,175,541,147,639,377
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_26.jpg,520,226,149,422,114,618,338
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_38.jpg,187,177,164,116,52,258,302
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_21.jpg,439,109,115,320,23,558,195
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_40.jpg,382,356,27,291,236,473,476
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_16.jpg,350,328,137,239,221,461,435
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_22.jpg,246,176,8,165,45,327,307
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_37.jpg,302,259,105,166,198,438,320
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_5.jpg,384,352,113,269,271,499,433
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_29.jpg,447,201,56,331,104,563,298
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_9.jpg,360,209,90,244,139,476,279
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_2.jpg,481,289,15,382,177,580,401
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_20.jpg,150,172,42,39,62,261,282
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_31.jpg,538,254,150,441,141,635,367
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_3.jpg,323,252,148,221,145,425,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_8.jpg,353,380,108,238,296,468,464
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_27.jpg,327,189,78,198,132,456,246
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_7.jpg,466,262,39,357,151,575,373
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_11.jpg,229,174,66,103,88,355,260
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_15.jpg,333,327,21,242,209,424,445
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_10.jpg,186,309,102,67,232,305,386
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_33.jpg,332,129,79,205,65,459,193
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_24.jpg,180,392,94,56,343,304,441
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_19.jpg,255,344,53,127,238,383,450
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_23.jpg,222,209,15,150,86,294,332
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_12.jpg,525,350,124,414,249,636,451
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_1.jpg,452,366,121,333,275,571,457
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_35.jpg,536,230,41,435,125,637,335
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_18.jpg,322,152,35,219,37,425,267
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_17.jpg,485,165,46,368,54,602,276
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_28.jpg,316,162,174,256,48,376,276
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_34.jpg,494,177,147,396,68,592,286
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_13.jpg,535,269,31,438,149,632,389
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_32.jpg,359,279,163,284,158,434,400
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_36.jpg,339,207,44,232,100,446,314
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_25.jpg,453,365,63,335,274,571,456
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_6.jpg,360,93,83,236,25,484,161
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_14.jpg,462,92,105,344,13,580,171
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_39.jpg,304,323,57,182,238,426,408
/home/allen/dl_grasp/src/data_expend/origin_img/img/blackbox/blackbox_4.jpg,159,260,152,57,148,261,372
