image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_24.jpg,207,299,141,85,179,329,419
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_3.jpg,303,255,99,151,167,455,343
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_11.jpg,378,263,0,291,125,465,401
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_8.jpg,218,268,149,101,122,335,414
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_12.jpg,410,202,7,310,51,510,353
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_16.jpg,321,253,150,196,111,446,395
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_17.jpg,375,249,43,233,108,517,390
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_5.jpg,430,240,169,325,82,535,398
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_14.jpg,440,240,23,310,80,570,400
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_2.jpg,491,206,131,344,69,638,343
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_19.jpg,258,238,153,131,81,385,395
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_15.jpg,308,266,58,160,126,456,406
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_10.jpg,482,209,57,345,93,619,325
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_18.jpg,257,241,103,96,141,418,341
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_4.jpg,209,257,150,80,102,338,412
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_25.jpg,335,229,33,211,99,459,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_21.jpg,428,194,110,263,89,593,299
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_9.jpg,367,148,133,239,24,495,272
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_13.jpg,231,254,137,76,107,386,401
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_6.jpg,452,266,35,324,134,580,398
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_7.jpg,386,292,144,255,167,517,417
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_22.jpg,383,207,135,256,89,510,325
/home/allen/dl_grasp/src/data_expend/origin_img/img/coffee/coffee_23.jpg,228,298,29,115,152,341,444
