image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_4.jpg,464,301,30,418,252,510,350
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_12.jpg,275,341,155,239,301,311,381
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_8.jpg,433,335,28,396,296,470,374
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_23.jpg,473,135,117,420,100,526,170
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_5.jpg,507,254,30,462,207,552,301
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_22.jpg,290,280,147,244,231,336,329
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_19.jpg,387,201,117,337,167,437,235
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_7.jpg,274,317,0,229,263,319,371
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_11.jpg,474,377,28,421,323,527,431
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_18.jpg,406,248,68,348,210,464,286
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_17.jpg,445,268,58,386,223,504,313
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_20.jpg,196,324,29,142,269,250,379
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_9.jpg,429,198,109,368,143,490,253
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_14.jpg,113,213,4,77,161,149,265
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_2.jpg,240,260,138,184,216,296,304
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_15.jpg,129,214,128,68,154,190,274
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_24.jpg,503,295,105,451,246,555,344
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_21.jpg,209,257,96,150,200,268,314
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_1.jpg,376,284,7,318,223,434,345
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_10.jpg,290,229,148,230,164,350,294
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_6.jpg,481,133,129,428,78,534,188
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_13.jpg,130,325,12,79,269,181,381
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_16.jpg,229,303,133,168,245,290,361
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_3.jpg,286,213,164,231,155,341,271
/home/allen/dl_grasp/src/data_expend/origin_img/img/drum/drum_25.jpg,355,224,115,300,176,410,272
