image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_5.jpg,232,264,38,101,132,363,396
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_8.jpg,453,311,24,355,150,551,472
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_2.jpg,382,233,133,240,105,524,361
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_23.jpg,385,219,149,271,63,499,375
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_9.jpg,416,235,141,286,96,546,374
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_24.jpg,422,229,30,296,69,548,389
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_7.jpg,367,219,70,188,128,546,310
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_17.jpg,420,224,145,290,73,550,375
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_15.jpg,403,225,134,242,102,564,348
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_16.jpg,313,239,28,174,90,452,388
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_3.jpg,356,277,9,270,105,442,449
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_20.jpg,385,266,144,242,128,528,404
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_18.jpg,372,238,114,198,151,546,325
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_14.jpg,351,187,155,231,27,471,347
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_26.jpg,416,206,153,291,53,541,359
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_6.jpg,267,264,107,71,188,463,340
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_25.jpg,447,231,145,310,96,584,366
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_13.jpg,219,163,132,51,48,387,278
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_11.jpg,272,225,172,187,60,357,390
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_19.jpg,391,261,29,271,122,511,400
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_1.jpg,378,298,65,193,216,563,380
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_10.jpg,321,251,62,138,157,504,345
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_4.jpg,254,252,114,74,151,434,353
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_12.jpg,270,232,146,140,78,400,386
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_21.jpg,405,229,148,273,84,537,374
/home/allen/dl_grasp/src/data_expend/origin_img/img/screwdriverv2/screwdriverv2_22.jpg,410,257,21,308,106,512,408
