image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_13.jpg,255,151,112,185,95,325,207
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_7.jpg,392,180,70,311,144,473,216
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_3.jpg,352,144,46,297,88,407,200
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_5.jpg,212,202,44,154,143,270,261
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_6.jpg,446,166,22,401,106,491,226
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_9.jpg,559,217,-1,506,156,612,278
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_4.jpg,368,303,47,302,259,434,347
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_8.jpg,522,353,87,451,318,593,388
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_19.jpg,396,179,20,353,109,439,249
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_20.jpg,190,359,29,139,299,241,419
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_11.jpg,258,356,46,196,312,320,400
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_10.jpg,326,374,145,261,311,391,437
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_15.jpg,161,157,46,87,112,235,202
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_12.jpg,271,202,35,205,145,337,259
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_2.jpg,447,216,166,396,153,498,279
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_1.jpg,510,322,114,436,274,584,370
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_17.jpg,289,172,137,222,112,356,232
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_16.jpg,204,134,2,161,72,247,196
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_18.jpg,479,305,138,420,237,538,373
/home/allen/dl_grasp/src/data_expend/origin_img/img/small_bottle/small_bottle_14.jpg,155,271,35,100,217,210,325
