image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_17.jpg,480,314,131,394,257,566,371
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_3.jpg,341,267,56,270,193,412,341
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_25.jpg,347,294,142,278,228,416,360
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_6.jpg,415,315,5,363,238,467,392
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_24.jpg,160,182,121,76,122,244,242
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_5.jpg,237,274,170,175,190,299,358
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_12.jpg,255,160,51,175,94,335,226
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_8.jpg,396,238,32,327,166,465,310
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_18.jpg,457,207,27,388,136,526,278
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_11.jpg,299,255,103,205,197,393,313
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_7.jpg
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_22.jpg,296,157,76,214,107,378,207
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_21.jpg,295,158,159,234,85,356,231
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_23.jpg,119,308,69,30,255,208,361
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_2.jpg,351,246,133,273,169,429,323
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_19.jpg,301,233,127,232,174,370,292
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_10.jpg,515,326,26,457,248,573,404
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_14.jpg,204,210,99,128,169,280,251
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_20.jpg,303,229,134,223,162,383,296
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_13.jpg,196,251,117,114,192,278,310
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_9.jpg,513,158,139,449,95,577,221
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_16.jpg,431,134,87,348,92,514,176
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_1.jpg,325,290,119,240,230,410,350
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_4.jpg,263,277,124,173,223,353,331
/home/allen/dl_grasp/src/data_expend/origin_img/img/stapler/stapler_15.jpg,310,225,14,256,156,364,294
