image_path,target_x,target_y,target_angle,ix,iy,rx,ry
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_1.jpg,401,276,20,312,144,490,408
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_4.jpg,439,227,141,320,112,558,342
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_24.jpg,374,299,135,257,183,491,415
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_11.jpg,435,292,34,316,175,554,409
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_5.jpg,300,278,32,193,160,407,396
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_12.jpg,504,233,39,390,112,618,354
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_23.jpg,417,292,38,298,172,536,412
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_13.jpg,306,229,128,184,120,428,338
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_25.jpg,471,221,21,371,90,571,352
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_14.jpg,215,184,23,113,67,317,301
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_16.jpg,476,238,31,360,116,592,360
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_22.jpg,338,236,134,220,119,456,353
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_7.jpg,303,291,31,193,168,413,414
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_21.jpg,288,296,26,184,174,392,418
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_2.jpg,406,304,134,286,188,526,420
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_10.jpg,333,281,13,241,155,425,407
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_9.jpg,433,278,106,293,195,573,361
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_15.jpg,325,201,119,191,106,459,296
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_8.jpg,475,294,45,350,176,600,412
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_17.jpg,338,261,132,217,154,459,368
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_19.jpg,481,170,136,362,56,600,284
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_20.jpg,233,289,106,99,204,367,374
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_6.jpg,258,296,133,134,188,382,404
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_3.jpg,457,272,45,334,151,580,393
/home/allen/dl_grasp/src/data_expend/origin_img/img/tincan/tincan_18.jpg,468,274,38,351,150,585,398
